image,catalogNumber,cliffNumber,taxon,bone,age,relatedFossils,visibleMeasurements,currentLocation
"<img src=""http://www.carnegiequarry.com/images/DINO-14840-thumb.jpg"">",DINO 14840,Not yet available,"Sauropod, unidentified",Right humerus radius ulna metatarsals,Adult,None apparent,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-14840a-thumb.jpg"">",DINO 14840a,Not yet available,"Sauropod, unidentified",Right humerus radius ulna metatarsals,Adult,None apparent,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-14840b-thumb.jpg"">",DINO 14840b,Not yet available,"Sauropod, unidentified",Right humerus radius ulna metatarsals,Adult,None apparent,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-14840e-thumb.jpg"">",DINO 14840e,Not yet available,"Sauropod, unidentified",Right humerus radius ulna metatarsals,Adult,None apparent,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-14841a-thumb.jpg"">",DINO 14841a,Not yet available,"Sauropod, unidentified",Right tibia & fibula,Adult,May belong to right femur DINO 4995,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-14841b-thumb.jpg"">",DINO 14841b,Not yet available,"Sauropod, unidentified",Right tibia & fibula ,Adult,May belong to right femur DINO 4995,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-14842-thumb.jpg"">",DINO 14842,Not yet available,"Sauropod, unidentified",Caudal in end view,Adult,None apparent,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-14843-thumb.jpg"">",DINO 14843,Not yet available,"Sauropod, unidentified",Two sternal plates,Adult,None apparent,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-14850-thumb.jpg"">",DINO 14850,Not yet available,"Sauropod, unidentified",Midcondal vertebrate cranial view,Adult,None apparent,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-14851-thumb.jpg"">",DINO 14851,Not yet available,"Sauropod, unidentified",Right pedal phalanx,Adult,None apparent,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-14852-thumb.jpg"">",DINO 14852,Not yet available,"Sauropod, unidentified",Anterior candal vertebra caudal view,Adult,None apparent,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-2196-thumb.jpg"">",DINO 2196,Not yet available,Unknown,Unknown,Unknown,None apparent,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-2580a-thumb.jpg"">",DINO 2580a,CL-0373,Camarasaurus lentus,Skull,Adult,None apparent,24 in,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-2580b-thumb.jpg"">",DINO 2580b,CL-0382,Camarasaurus lentus,Atlas & axis,Adult,None apparent,6 in x 5 in,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-2580c-thumb.jpg"">",DINO 2580c,CL-0382,Camarasaurus lentus,Cervical 3 plus anterior ball,Adult,None apparent,7 in x 6 in,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-2580d-thumb.jpg"">",DINO 2580d,CL-0382,Camarasaurus lentus,Cervical 4 plus anterior ball,Adult,None apparent,9 in x 6 in,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-2580e-thumb.jpg"">",DINO 2580e,CL-0382,Camarasaurus lentus,Cervical 5 plus anterior ball,Adult,None apparent,12 in x 8 in,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-2580f-thumb.jpg"">",DINO 2580f,CL-0382,Camarasaurus lentus,Cervical 6 minus anterior ball,Adult,None apparent,11 in,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-2580g-thumb.jpg"">",DINO 2580g,CL-0382,Camarasaurus lentus,Cervical 7 minus anterior ball,Adult,None apparent,10 in,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-2580h-thumb.jpg"">",DINO 2580h,CL-0382,Camarasaurus lentus,Cervical 8 half missing,Adult,None apparent,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-2650-thumb.jpg"">",DINO 2650,Not yet available,Unknown,Unknown,Unknown,None apparent,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-3524-thumb.jpg"">",DINO 3524,Not yet available,Camarasaurus sp.,Left scapula ,Adult,None apparent,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-3525-thumb.jpg"">",DINO 3525,Not yet available,Diplodocus sp.,Left coracoid,Adult,Articulates with DINO 3526,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-3526-thumb.jpg"">",DINO 3526,Not yet available,Diplodocus sp.,Left scapula ,Adult,Articulates with DINO 3525,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-3527-thumb.jpg"">",DINO 3527,Not yet available,Camarasaurus sp.,Left posterior cervical rib ,Adult,None apparent,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-3528-thumb.jpg"">",DINO 3528,Not yet available,Diplodocus sp.,Left humerus ,Juvenile,None apparent,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-3530-thumb.jpg"">",DINO 3530,Not yet available,Diplodocus sp.,Caudal vertebra 25 ,Adult,None apparent,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-3682-thumb.jpg"">",DINO 3682,Not yet available,Diplodocus sp.,Right and left articulated pubes ,Juvenile,None apparent,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-3684-thumb.jpg"">",DINO 3684,Not yet available,"Sauropod, unidentified",Left scapula ,Juvenile,None apparent,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-3685-thumb.jpg"">",DINO 3685,Not yet available,Camarasaurus sp.,Left dorsal rib 1 ,Juvenile,None apparent,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-3686-thumb.jpg"">",DINO 3686,Not yet available,"Sauropod, unidentified",Left dorsal rib ribhead missing,Adult,None apparent,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-3687-thumb.jpg"">",DINO 3687,Not yet available,Apatosaurus sp.,Left scapula ,Juvenile,None apparent,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-3688-thumb.jpg"">",DINO 3688,Not yet available,Apatosaurus sp.,Right humerus ,Juvenile,None apparent,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-3690-thumb.jpg"">",DINO 3690,Not yet available,Camarasaurus sp.,Right scapula ,Juvenile,None apparent,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-3691-thumb.jpg"">",DINO 3691,Not yet available,Diplodocus sp.,Dorsal vertebra 3 or 4 ,Adult,None apparent,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-3692-thumb.jpg"">",DINO 3692,Not yet available,Stegosaurus sp.,Anterior dermal plate 5 ,Adult,None apparent,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-3693-thumb.jpg"">",DINO 3693,Not yet available,Camarasaurus sp.,Left ulna ,Adult,None apparent,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-3694-thumb.jpg"">",DINO 3694,Not yet available,Diplodocus sp.,Left scapula ,Juvenile,None apparent,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-3695-thumb.jpg"">",DINO 3695,Not yet available,"Sauropod, unidentified",Left pubis ,Juvenile,None apparent,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-3696-thumb.jpg"">",DINO 3696,Not yet available,Camarasaurus sp.,Cervical vertebra 9 or 10 ,Adult,None apparent,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-3701-thumb.jpg"">",DINO 3701,Not yet available,Camarasaurus sp.,Left dorsal rib 4 ,Juvenile,None apparent,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-3703-thumb.jpg"">",DINO 3703,Not yet available,Stegosaurus sp.,Left dorsal rib 7 or 8 ,Adult,None apparent,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-3704-thumb.jpg"">",DINO 3704,Not yet available,Allosaurus fragilis,Right dorsal rib 9 or 10,Adult,None apparent,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-3705-thumb.jpg"">",DINO 3705,Not yet available,"Sauropod, unidentified",Right dorsal rib,Adult,None apparent,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-3706-thumb.jpg"">",DINO 3706,Not yet available,Diplodocus sp.,Right dorsal rib 2,Adult,None apparent,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-3708-thumb.jpg"">",DINO 3708,Not yet available,Camarasaurus sp.,Right ulna ,Juvenile,None apparent,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-3709-thumb.jpg"">",DINO 3709,Not yet available,Camarasaurus sp.,Left ischium ,Juvenile,None apparent,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-3710-thumb.jpg"">",DINO 3710,Not yet available,Apatosaurus sp.,Right ischium,Adult,None apparent,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-3711-thumb.jpg"">",DINO 3711,Not yet available,Camarasaurus sp.,Left metacarpal iii,Adult,None apparent,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-3712-thumb.jpg"">",DINO 3712,Not yet available,Apatosaurus sp.,Left humerus,Adult,None apparent,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-3713-thumb.jpg"">",DINO 3713,Not yet available,Apatosaurus sp.,Left dorsal rib,Adult,None apparent,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-3714-thumb.jpg"">",DINO 3714,Not yet available,Apatosaurus sp.,Right dorsal rib 5,Adult,None apparent,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-3715-thumb.jpg"">",DINO 3715,Not yet available,Stegosaurus sp.,Right dorsal rib ,Juvenile,None apparent,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-3716-thumb.jpg"">",DINO 3716,Not yet available,"Plant, unidentified",Carbonized plant remains,Adult,None apparent,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-3720-thumb.jpg"">",DINO 3720,Not yet available,Stegosaurus sp.,Spike dermal tail spike,Adult,None apparent,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-3721-thumb.jpg"">",DINO 3721,Not yet available,"Sauropod, unidentified",Left femur ,Juvenile,None apparent,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-3723-thumb.jpg"">",DINO 3723,Not yet available,Apatosaurus sp.,Right dorsal rib 2,Adult,None apparent,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-3726-thumb.jpg"">",DINO 3726,Not yet available,"Sauropod, unidentified",Left dorsal rib ,Juvenile,None apparent,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-3727-thumb.jpg"">",DINO 3727,Not yet available,Apatosaurus sp.,Left femur ,Juvenile,None apparent,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-3730-thumb.jpg"">",DINO 3730,Not yet available,Apatosaurus sp.,Right dorsal rib 4,Adult,None apparent,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-3731-thumb.jpg"">",DINO 3731,Not yet available,Diplodocus sp.,Right radius ,Juvenile,None apparent,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-3732-thumb.jpg"">",DINO 3732,Not yet available,Camptosaurus sp.,Right anterior dorsal rib,Adult,None apparent,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-3733-thumb.jpg"">",DINO 3733,Not yet available,Diplodocus sp.,Caudal vertebra 27 or 28,Adult,None apparent,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-3734-thumb.jpg"">",DINO 3734,Not yet available,Diplodocus sp.,Right humerus,Adult,None apparent,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-3735-thumb.jpg"">",DINO 3735,Not yet available,Camarasaurus sp.,Right femur,Adult,None apparent,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-3736-thumb.jpg"">",DINO 3736,Not yet available,Apatosaurus sp.,Left metatarsal iii,Adult,None apparent,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-3737-thumb.jpg"">",DINO 3737,Not yet available,Camarasaurus sp.,Right scapula ,Juvenile,None apparent,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-3738-thumb.jpg"">",DINO 3738,Not yet available,Apatosaurus sp.,Left dorsal rib 5,Adult,None apparent,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-3741-thumb.jpg"">",DINO 3741,Not yet available,Apatosaurus sp.,Left metatarsal iv,Adult,None apparent,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-3746-thumb.jpg"">",DINO 3746,Not yet available,Apatosaurus sp.,Right pedal ungual phalange of digit iii,Adult,None apparent,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-3747-thumb.jpg"">",DINO 3747,Not yet available,Diplodocus sp.,Right femur ,Juvenile,None apparent,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-3748-thumb.jpg"">",DINO 3748,Not yet available,Apatosaurus sp.,Right femur,Adult,None apparent,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-3749-thumb.jpg"">",DINO 3749,Not yet available,Stegosaurus sp.,Dermal plate 5,Adult,None apparent,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-3750-thumb.jpg"">",DINO 3750,Not yet available,Apatosaurus sp.,Right manal ungual phalange of digit i,Adult,None apparent,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-3751-thumb.jpg"">",DINO 3751,Not yet available,Diplodocus sp.,Caudal chevron 15 ,Juvenile,None apparent,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-3752-thumb.jpg"">",DINO 3752,Not yet available,Camptosaurus sp.,Right dorsal rib ,Juvenile,None apparent,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-3755-thumb.jpg"">",DINO 3755,Not yet available,"Sauropod, unidentified",Gastralia,Adult,None apparent,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-3756-thumb.jpg"">",DINO 3756,Not yet available,Diplodocus sp.,Caudal vertebra 26,Adult,None apparent,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-3757-thumb.jpg"">",DINO 3757,Not yet available,Diplodocus sp.,Seventh or eighth dorsal vertebra centrum only ,Juvenile,None apparent,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-3758-thumb.jpg"">",DINO 3758,Not yet available,Diplodocus sp.,Caudal vertebra 21,Adult,None apparent,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-3759-thumb.jpg"">",DINO 3759,Not yet available,Diplodocus sp.,Caudal vertebra 19,Adult,None apparent,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-3760-thumb.jpg"">",DINO 3760,Not yet available,Diplodocus sp.,Caudal vertebra 26,Adult,None apparent,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-3761-thumb.jpg"">",DINO 3761,Not yet available,Stegosaurus sp.,Right coracoid ,Adult,Articulated with DINO 3762,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-3762-thumb.jpg"">",DINO 3762,Not yet available,Stegosaurus sp.,Right scapula ,Adult,Articulated with DINO 3761,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-3763-thumb.jpg"">",DINO 3763,Not yet available,Stegosaurus sp.,Dermal plate 8,Adult,None apparent,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-3764-thumb.jpg"">",DINO 3764,Not yet available,Apatosaurus sp.,Left ischium,Juvenile,"Associated with DINO 4241, 4262, 4280",Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-3765-thumb.jpg"">",DINO 3765,Not yet available,"Sauropod, unidentified",Left dorsal rib ,Juvenile,None apparent,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-3766-thumb.jpg"">",DINO 3766,Not yet available,Diplodocus sp.,Caudal vertebra 25,Adult,None apparent,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-3767-thumb.jpg"">",DINO 3767,Not yet available,"Sauropod, unidentified",Dorsal rib midshaft only,Adult,None apparent,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-3768-thumb.jpg"">",DINO 3768,CL-0099,Diplodocus sp.,Third or fourth chevron,Adult,None apparent,12 in x 4 in,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-3769-thumb.jpg"">",DINO 3769,CL-0100,Camptosaurus sp.,Right dorsal rib,Adult,None apparent,20 in x 4 in,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-3770-thumb.jpg"">",DINO 3770,CL-0101,Stegosaurus sp.,Left dorsal rib ribhead and proximal portion of a shaft,Adult,None apparent,22 in x 7 in,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-3776-thumb.jpg"">",DINO 3776,Not yet available,Diplodocus sp.,Distal caudal chevron,Adult,None apparent,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-3778-thumb.jpg"">",DINO 3778,Not yet available,Apatosaurus sp.,Left metatarsal ii,Adult,None apparent,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-3779-thumb.jpg"">",DINO 3779,Not yet available,Apatosaurus sp.,Right dorsal rib 4,Adult,None apparent,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-3781-thumb.jpg"">",DINO 3781,Not yet available,Diplodocus sp.,Left femur ,Juvenile,None apparent,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-3787-thumb.jpg"">",DINO 3787,Not yet available,Diplodocus sp.,Right radius ,Juvenile,None apparent,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-3789-thumb.jpg"">",DINO 3789,Not yet available,Diplodocus sp.,Right femur ,Juvenile,None apparent,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-3791-thumb.jpg"">",DINO 3791,Not yet available,Diplodocus sp.,Right fibula ,Juvenile,None apparent,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-3792-thumb.jpg"">",DINO 3792,Not yet available,Apatosaurus sp.,Left radius,Adult,None apparent,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-3795-thumb.jpg"">",DINO 3795,Not yet available,Stegosaurus sp.,Dermal plate ,Juvenile,None apparent,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-3798-thumb.jpg"">",DINO 3798,Not yet available,Diplodocus sp.,Left fibula ,Juvenile,None apparent,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-3799-thumb.jpg"">",DINO 3799,Not yet available,Camarasaurus sp.,Left dorsal rib 7,Adult,None apparent,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-3800-thumb.jpg"">",DINO 3800,Not yet available,"Sauropod, unidentified",Distal portion of dorsal rib ,Juvenile,None apparent,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-3802-thumb.jpg"">",DINO 3802,Not yet available,Apatosaurus sp.,Right dorsal rib 6,Adult,None apparent,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-3805-thumb.jpg"">",DINO 3805,Not yet available,Diplodocus sp.,Anterior caudal vertebra 3 or 4,Adult,None apparent,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-3806-thumb.jpg"">",DINO 3806,CL-0137,Camarasaurus lentus,Caudal chevron 6,Adult,None apparent,12 in x 4 in,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-3807-thumb.jpg"">",DINO 3807,Not yet available,Camarasaurus sp.,Centrum of caudal vertebra,Adult,None apparent,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-3808-thumb.jpg"">",DINO 3808,Not yet available,"Sauropod, unidentified",Right humerus,Adult,None apparent,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-3809-thumb.jpg"">",DINO 3809,Not yet available,Apatosaurus sp.,Left femur ,Juvenile,None apparent,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-3810-thumb.jpg"">",DINO 3810,Not yet available,Diplodocus sp.,Left tibia,Adult,None apparent,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-3811a-thumb.jpg"">",DINO 3811a,Not yet available,Diplodocus sp.,Caudal vertebrae 17 through 24,Adult,None apparent,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-3811b-thumb.jpg"">",DINO 3811b,Not yet available,Diplodocus sp.,Caudal vertebrae 17 through 24,Adult,None apparent,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-3811c-thumb.jpg"">",DINO 3811c,Not yet available,Diplodocus sp.,Caudal vertebrae 17 through 24,Adult,None apparent,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-3811d-thumb.jpg"">",DINO 3811d,Not yet available,Diplodocus sp.,Caudal vertebrae 17 through 24,Adult,None apparent,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-3811e-thumb.jpg"">",DINO 3811e,Not yet available,Diplodocus sp.,Caudal vertebrae 17 through 24,Adult,None apparent,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-3811f-thumb.jpg"">",DINO 3811f,Not yet available,Diplodocus sp.,Caudal vertebrae 17 through 24,Adult,None apparent,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-3811g-thumb.jpg"">",DINO 3811g,Not yet available,Diplodocus sp.,Caudal vertebrae 17 through 24,Adult,None apparent,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-3811h-thumb.jpg"">",DINO 3811h,Not yet available,Diplodocus sp.,Caudal vertebrae 17 through 24,Adult,None apparent,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-3812-thumb.jpg"">",DINO 3812,Not yet available,"Sauropod, unidentified",Scrap piece of limb bone,Adult,None apparent,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-3814-thumb.jpg"">",DINO 3814,Not yet available,Diplodocus sp.,Caudal chevron distal left half of process,Adult,None apparent,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-3815-thumb.jpg"">",DINO 3815,Not yet available,Apatosaurus sp.,Left fibula,Adult,None apparent,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-3817-thumb.jpg"">",DINO 3817,CL-0148,Apatosaurus sp.,Left femur,Adult,None apparent,66 in x 20 in,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-3818-thumb.jpg"">",DINO 3818,Not yet available,Camarasaurus sp.,Left tibia,Adult,None apparent,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-3819-thumb.jpg"">",DINO 3819,Not yet available,Apatosaurus sp.,Left dorsal rib 2,Adult,None apparent,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-3820-thumb.jpg"">",DINO 3820,Not yet available,Apatosaurus sp.,Left dorsal rib 1,Adult,None apparent,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-3821-thumb.jpg"">",DINO 3821,Not yet available,"Sauropod, unidentified",Gastralia ,Adult,None apparent,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-3822-thumb.jpg"">",DINO 3822,Not yet available,Apatosaurus sp.,Dorsal right rib,Adult,None apparent,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-3823-thumb.jpg"">",DINO 3823,CL-0154,Diplodocus sp.,Left scapula,Adult,None apparent,53 in x 28 in,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-3824-thumb.jpg"">",DINO 3824,CL-0155,Apatosaurus sp.,Right ischium,Adult,None apparent,33 in x 7 in,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-3825-thumb.jpg"">",DINO 3825,Not yet available,Diplodocus sp.,Left ischium,Juvenile,Articulated with DINO 3824,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-3827-thumb.jpg"">",DINO 3827,Not yet available,"Sauropod, unidentified",Right femur,Adult,None apparent,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-3828-thumb.jpg"">",DINO 3828,CL-0159,Apatosaurus sp.,Right scapula,Adult,None apparent,58 in x 32 in,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-3829-thumb.jpg"">",DINO 3829,CL-0160,Apatosaurus sp.,Right coracoid,Adult,None apparent,25 in x 20 in,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-3831-thumb.jpg"">",DINO 3831,CL-0162,Camptosaurus sp.,Left femur,Adult,None apparent,16 in x 6 in,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-3832-thumb.jpg"">",DINO 3832,CL-0163,Camptosaurus sp.,Left tibia,Adult,None apparent,14 in x 5 in,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-3833-thumb.jpg"">",DINO 3833,CL-0164,Camptosaurus sp.,Right dorsal rib,Adult,None apparent,15 in x 4 in,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-3834-thumb.jpg"">",DINO 3834,CL-0165,Apatosaurus sp.,Right pedal ungual phalange of digit i,Adult,None apparent,9 in x 5 in,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-3835-thumb.jpg"">",DINO 3835,CL-0166,Apatosaurus sp.,Right manal proximal phalange of digit iii,Adult,None apparent,5 in x 3 in,Carnegie Quarry
