image,catalogNumber,cliffNumber,taxon,bone,age,relatedFossils,visibleMeasurements,currentLocation
"<img src=""http://www.carnegiequarry.com/images/DINO-4214-thumb.jpg"">",DINO 4214,Not yet available,"Dinosaur, unidentified",Left dorsal rib,Adult,None apparent,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4216-thumb.jpg"">",DINO 4216,Not yet available,Stegosaurus sp.,Carpal bones right intermedium ulnare and pisiform,Adult,None apparent,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4217-thumb.jpg"">",DINO 4217,Not yet available,Stegosaurus sp.,Right radiale,Adult,None apparent,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4221-thumb.jpg"">",DINO 4221,Not yet available,Apatosaurus sp.,Right femur ,Juvenile,None apparent,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4226-thumb.jpg"">",DINO 4226,Not yet available,Apatosaurus sp.,Left coracoid ,Adult,Articulated with DINO 3973,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4228-thumb.jpg"">",DINO 4228,Not yet available,Camarasaurus sp.,Left dorsal rib 4 or 5,Adult,Associated with DINO 4227,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4229-thumb.jpg"">",DINO 4229,Not yet available,Stegosaurus sp.,Dermal plate 3 or 4,Adult,None apparent,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4231-thumb.jpg"">",DINO 4231,Not yet available,Allosaurus fragilis,Left femur ,Juvenile,None apparent,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4240-thumb.jpg"">",DINO 4240,Not yet available,Dryosaurus altus,Left metatarsal iii,Adult,None apparent,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4241-thumb.jpg"">",DINO 4241,Not yet available,Apatosaurus sp.,Right pubis,Adult,"Associated with DINO 3764, 4262, 4280",Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4242-thumb.jpg"">",DINO 4242,Not yet available,"Sauropod, unidentified",Gastralia,Adult,None apparent,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4243-thumb.jpg"">",DINO 4243,Not yet available,"Sauropod, unidentified",Gastralia,Adult,None apparent,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4244-thumb.jpg"">",DINO 4244,Not yet available,"Sauropod, unidentified",Gastralia,Adult,None apparent,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4245-thumb.jpg"">",DINO 4245,Not yet available,Diplodocus sp.,Right scapula,Adult,None apparent,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4246-thumb.jpg"">",DINO 4246,Not yet available,Diplodocus sp.,Left dorsal rib ,Juvenile,"Associated with DINO 4248 to 4253, 4255",Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4247-thumb.jpg"">",DINO 4247,Not yet available,Stegosaurus sp.,Left ischium,Adult,None apparent,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4248-thumb.jpg"">",DINO 4248,Not yet available,Diplodocus sp.,Anterior caudal vertebra ,Juvenile,"Associated with DINO 4246, 4249 to 4253, 4255",Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4249-thumb.jpg"">",DINO 4249,Not yet available,Diplodocus sp.,Right dorsal rib ,Juvenile,"Associated with DINO 4246, 4248, 4250 to 4253, 4255",Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4250-thumb.jpg"">",DINO 4250,Not yet available,Diplodocus sp.,Right ischium ,Juvenile,"Associated with DINO 4246, 4248, 4249, 4251 to 4253, 4255",Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4251-thumb.jpg"">",DINO 4251,Not yet available,Diplodocus sp.,Right pubis ,Juvenile,"Associated with DINO 4246, 4248 to 4250, 4252, 4253, 4255",Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4252-thumb.jpg"">",DINO 4252,Not yet available,Diplodocus sp.,Right dorsal rib ,Juvenile,"Associated with DINO 4246, 4248 to 4251, 4253, 4255",Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4253-thumb.jpg"">",DINO 4253,Not yet available,Diplodocus sp.,Mediandistal caudal vertebra ,Juvenile,"Associated with DINO 4246, 4248 to 4252, 4255",Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4254-thumb.jpg"">",DINO 4254,Not yet available,Stegosaurus sp.,Right radius ,Juvenile,None apparent,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4255-thumb.jpg"">",DINO 4255,Not yet available,Diplodocus sp.,Neural arch and spine of caudal vertebra ,Juvenile,"Associated with DINO 4246, 42484253",Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4259-thumb.jpg"">",DINO 4259,Not yet available,"Sauropod, unidentified",Left femur,Adult,None apparent,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4260-thumb.jpg"">",DINO 4260,Not yet available,Camarasaurus sp.,Right humerus ,Juvenile,None apparent,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4261-thumb.jpg"">",DINO 4261,Not yet available,Apatosaurus sp.,Right radius ,Juvenile,None apparent,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4262-thumb.jpg"">",DINO 4262,Not yet available,Apatosaurus sp.,Right ischium ,Adult,"Associated with DINO 3764, 4241, 4280",Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4263-thumb.jpg"">",DINO 4263,Not yet available,Diplodocus sp.,Caudal vertebra 25 or 26,Adult,None apparent,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4266-thumb.jpg"">",DINO 4266,Not yet available,"Sauropod, unidentified",Left dorsal rib,Adult,None apparent,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4276-thumb.jpg"">",DINO 4276,Not yet available,"Sauropod, unidentified",Left dorsal rib,Adult,None apparent,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4278-thumb.jpg"">",DINO 4278,Not yet available,Apatosaurus sp.,Left illium,Adult,None apparent,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4280-thumb.jpg"">",DINO 4280,Not yet available,Apatosaurus sp.,Left pubis,Adult,"Associated with DINO 3764, 4241, 4262",Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4282-thumb.jpg"">",DINO 4282,Not yet available,Diplodocus sp.,Left coracoid,Adult,None apparent,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4293-thumb.jpg"">",DINO 4293,Not yet available,Apatosaurus sp.,Caudal vertebra 30 or 31 ,Adult,"Associated with DINO 4291, 4292, 4294, 4297",Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4301-thumb.jpg"">",DINO 4301,Not yet available,Diplodocus sp.,Right pubis ,Juvenile,None apparent,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4302-thumb.jpg"">",DINO 4302,Not yet available,Diplodocus sp.,Caudal vertebra 22 or 23,Adult,None apparent,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4304-thumb.jpg"">",DINO 4304,Not yet available,Diplodocus sp.,Dorsal rib 5,Adult,None apparent,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4305-thumb.jpg"">",DINO 4305,Not yet available,Diplodocus sp.,Caudal vertebra 27 or 28,Adult,None apparent,Not yet available,Carnegie Quarry
